bathrooms,bedrooms,condition,date,floors,grade,id,lat,long,price,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated,zipcode
2.5,5,3,20140703T000000,2,8,7137970340,47.3266,-122.169,285000,2270,0,2270,2240,6300,7005,0,0,1995,0,98092
1.5,2,3,20140516T000000,1,7,8091400200,47.3533,-122.166,252700,1070,0,1070,1220,9643,8386,0,0,1985,0,98030
2.25,3,4,20141120T000000,2,8,3814700200,47.3739,-122.172,329000,2450,0,2450,2200,6500,6865,0,0,1985,0,98030
2,3,5,20141103T000000,1.5,6,1202000200,47.3048,-122.218,233000,1710,0,1710,1030,4697,4705,0,0,1941,0,98002
1.75,3,3,20140626T000000,2,8,1794500383,47.6386,-122.36,937000,1750,700,2450,1760,2691,3573,0,0,1915,0,98119
1,3,5,20141201T000000,1.5,8,3303700376,47.6221,-122.314,667000,1400,0,1400,1860,1581,3861,0,0,1909,0,98112
1.75,3,3,20140624T000000,1,7,5101402488,47.695,-122.304,438000,790,730,1520,1520,6380,6235,0,0,1948,0,98115
2.5,4,3,20150302T000000,2,8,1873100390,47.7073,-122.11,719000,2570,0,2570,2630,7173,6026,0,0,2005,0,98052
2.5,3,3,20141110T000000,2,8,8562750320,47.5391,-122.07,580500,2320,0,2320,2580,3980,3980,0,0,2003,0,98027
1.5,2,3,20141201T000000,3,7,2426039314,47.7274,-122.357,280000,1190,0,1190,1390,1265,1756,0,0,2005,0,98133
1.75,4,4,20140624T000000,1.5,7,0461000390,47.6823,-122.368,687500,1510,820,2330,1460,5000,5000,0,0,1929,0,98117
1,3,4,20141110T000000,1.5,8,7589200193,47.6889,-122.375,535000,1090,0,1090,1570,3000,5080,0,0,1929,0,98117
2.75,4,3,20141203T000000,1,7,7955080270,47.4276,-122.157,322500,1280,780,2060,2020,6659,8720,0,0,1981,0,98058
2.5,3,3,20140613T000000,1.5,8,9547205180,47.6827,-122.31,696000,1510,790,2300,1590,3060,3264,0,0,1930,2002,98115
1,4,1,20140528T000000,1,5,9435300030,47.6621,-122.132,550000,930,730,1660,2160,34848,11467,0,0,1933,0,98052
2,4,4,20141230T000000,2,8,2768000400,47.6702,-122.362,640000,2360,0,2360,1730,6000,4700,0,0,1904,0,98107
1,4,2,20150213T000000,1,7,7895500070,47.3341,-122.282,240000,890,330,1220,1290,8075,7800,0,0,1969,0,98001
2.5,4,3,20140620T000000,2,8,2078500320,47.5301,-122.18,605000,2620,0,2620,2620,7553,11884,0,0,1996,0,98056
2.5,4,3,20140715T000000,2,9,5547700270,47.6145,-122.027,625000,2570,0,2570,2470,5520,5669,0,0,2000,0,98074
2.25,4,3,20140811T000000,1,8,7766200013,47.445,-122.347,775000,2600,1620,4220,2410,24186,30617,0,0,1984,0,98166
2.75,5,3,20140707T000000,2,9,7203220400,47.6848,-122.016,861990,3595,0,3595,3625,5639,5639,0,0,2014,0,98053
1,3,3,20141028T000000,2,7,9270200160,47.6413,-122.364,685000,1570,0,1570,1580,2280,2640,0,0,1922,0,98119
1,3,4,20140729T000000,1,6,1432701230,47.4485,-122.175,309000,920,360,1280,1340,9656,8808,0,0,1959,0,98058
2.5,3,3,20140718T000000,2,8,8035350320,47.7443,-121.977,488000,3160,0,3160,3050,13603,9232,0,0,2003,0,98019
1,3,3,20150325T000000,1,6,8945200830,47.3066,-122.371,210490,990,0,990,1228,8528,8840,0,0,1966,0,98023
2.5,4,4,20140716T000000,2,9,4178300310,47.6194,-122.151,785000,2290,0,2290,2680,13416,13685,0,0,1981,0,98007
1.75,3,4,20150428T000000,1,7,9215400105,47.6796,-122.301,450000,1250,0,1250,970,5963,5100,0,0,1953,0,98115
2.5,3,5,20150311T000000,1,9,0822039084,47.4041,-122.451,1.35e+006,2165,588,2753,2680,65005,72513,2,1,1953,0,98070
1,3,3,20140916T000000,1,7,5245600105,47.4258,-122.322,228000,1190,0,1190,1190,9199,9364,0,0,1955,0,98148
2.5,5,4,20150217T000000,1,8,7231300125,47.4934,-122.189,345000,1640,1510,3150,1990,9134,9133,0,0,1966,0,98056
1.75,3,4,20141231T000000,1,7,7518505990,47.6808,-122.384,600000,1000,410,1410,1410,4080,4080,0,0,1950,0,98117
1.75,2,3,20150205T000000,1,7,3626039271,47.6989,-122.369,585000,990,990,1980,1480,8550,6738,0,0,1981,0,98117
2.25,5,3,20150303T000000,1.5,8,4217401195,47.6571,-122.281,920000,2130,600,2730,2730,6000,6000,0,0,1927,0,98105
2.5,4,3,20140512T000000,2,9,9822700295,47.6597,-122.29,885000,2830,0,2830,1950,5000,5000,0,0,1995,0,98105
2.5,4,3,20140819T000000,2,7,9478500640,47.3663,-122.114,292500,2250,0,2250,2250,4495,4500,0,0,2008,0,98042
2.5,3,3,20150407T000000,2,8,2799800710,47.3663,-122.122,301000,2420,0,2420,2690,4750,4750,0,0,2003,0,98042
3.25,5,4,20140827T000000,2,8,7922800400,47.588,-122.116,951000,3250,0,3250,2960,14342,11044,4,0,1968,0,98008
3,4,3,20150223T000000,2,8,8079040320,47.5059,-122.149,430000,1850,0,1850,2270,9976,8542,0,0,1991,0,98059
2.25,3,4,20141210T000000,1,8,1516000055,47.4336,-122.339,650000,1590,560,2150,2570,21235,18900,3,0,1959,0,98166
1.75,3,3,20140828T000000,1,7,9558200045,47.4366,-122.335,289000,1260,0,1260,1290,8400,8750,0,0,1954,0,98148
1.75,3,5,20141021T000000,2,8,5072410070,47.4428,-122.344,505000,2519,0,2519,2500,8690,9500,0,0,1973,0,98166
1.75,3,3,20141207T000000,3,8,9528102996,47.6765,-122.32,549000,1540,0,1540,1580,1044,3090,0,0,2014,0,98115
2.25,3,3,20140603T000000,1,7,1189001180,47.6113,-122.297,425000,1110,550,1660,1440,6000,4080,0,0,1979,0,98122
2.75,3,5,20141120T000000,1.5,7,3253500160,47.5747,-122.304,317625,1770,1000,2770,1440,3809,4000,0,0,1925,0,98144
2.5,4,3,20140909T000000,2,10,3394100030,47.5815,-122.192,975000,2720,0,2720,2750,11049,11049,0,0,1989,0,98004
2.5,4,3,20141009T000000,2,7,3717000160,47.3378,-122.257,287000,2240,0,2240,2221,4648,4557,0,0,2005,0,98001
1,3,4,20140825T000000,1,7,1274500060,47.3621,-122.11,204000,1000,0,1000,1010,12070,12635,0,0,1968,0,98042
2.25,5,3,20140612T000000,1,8,1802000060,47.6303,-122.215,1.325e+006,1600,1600,3200,3390,20158,20158,0,0,1965,0,98004
3.25,5,4,20140912T000000,1,11,1525059190,47.6525,-122.16,1.04e+006,3070,1700,4770,3530,50094,38917,0,0,1973,0,98005
2,3,4,20150105T000000,1,7,1049000060,47.7362,-122.179,325000,1260,0,1260,1640,5612,4745,0,0,1972,0,98034
2,4,5,20140610T000000,1.5,7,8820901275,47.7168,-122.287,571000,2250,500,2750,1510,7807,7807,0,0,1916,0,98125
2.5,4,3,20140710T000000,2,8,5416510140,47.3608,-122.036,360000,2380,0,2380,2420,5000,5000,0,0,2005,0,98038
1.75,3,5,20150316T000000,1,7,3444100400,47.3511,-122.073,349000,1090,700,1790,1940,50529,50529,0,0,1965,0,98042
4,4,4,20141105T000000,2,10,3276920270,47.5822,-121.987,832500,2390,1040,3430,3240,35102,35020,0,0,1986,0,98075
1.75,4,3,20141013T000000,1,7,4036801170,47.6034,-122.125,380000,880,880,1760,1680,7300,7500,0,0,1956,0,98008
1,3,3,20150420T000000,1,7,2391600320,47.5636,-122.394,480000,1040,0,1040,890,5060,5060,0,0,1941,0,98116
1,3,4,20140609T000000,1,7,6300000287,47.7073,-122.34,410000,910,500,1410,1130,5060,5693,0,0,1956,0,98133
2.5,4,3,20150323T000000,2,10,1531000030,47.342,-122.025,720000,3450,0,3450,3350,39683,39750,0,0,2002,0,98010
2.5,3,3,20141202T000000,2,8,5104520400,47.3512,-122.008,390000,2350,0,2350,2350,5100,5363,0,0,2003,0,98038
2.5,4,3,20141222T000000,2,7,7437100340,47.349,-122.031,360000,1900,0,1900,1870,5889,6405,0,0,1992,0,98038
1,2,3,20141028T000000,1,7,9418400240,47.5474,-122.291,355000,1010,1010,2020,1720,6720,6720,0,0,1948,0,98118
1.5,3,3,20150128T000000,1,8,1523059105,47.4811,-122.149,356000,1680,0,1680,1850,8712,8797,0,0,1964,0,98059
1,3,3,20140602T000000,1,6,1133000671,47.7264,-122.31,315000,960,0,960,1570,6634,7203,0,0,1952,0,98125
1.5,3,3,20141114T000000,2,9,4232902595,47.6337,-122.365,940000,1900,240,2140,2020,3600,4800,0,0,1925,0,98119
2.25,5,5,20141103T000000,1.5,7,2599001200,47.2909,-122.189,305000,2660,0,2660,1590,8400,8165,0,0,1961,0,98092
3.25,3,3,20140618T000000,2,9,3342103156,47.5228,-122.199,461000,1980,790,2770,1900,6278,7349,0,0,2006,0,98056
2.25,2,4,20140519T000000,2,7,1332700270,47.518,-122.194,215000,1610,0,1610,1950,2040,2025,0,0,1979,0,98056
1.75,2,3,20140904T000000,2,7,3869900162,47.5394,-122.387,335000,765,265,1030,1030,1066,1106,0,0,2006,0,98136
2.5,4,3,20140522T000000,2,7,2791500270,47.2897,-122.372,243500,1980,0,1980,1980,7403,7510,0,0,1988,0,98023
2.75,5,4,20150311T000000,2,10,5036300431,47.6506,-122.391,1.09988e+006,3520,0,3520,2520,6353,6250,0,0,2001,0,98199
1,3,3,20150226T000000,1,7,4168000060,47.322,-122.351,153000,1200,0,1200,1350,10500,10500,0,0,1962,0,98023
1.5,3,3,20140725T000000,1,8,6021501535,47.687,-122.386,430000,1290,290,1580,1570,5000,4500,0,0,1939,0,98117
1.5,3,3,20141223T000000,1,8,6021501535,47.687,-122.386,700000,1290,290,1580,1570,5000,4500,0,0,1939,0,98117
2.5,4,3,20140908T000000,1,7,1483300570,47.5873,-122.249,905000,2390,910,3300,1950,10250,6045,0,0,1946,1991,98040
1.75,3,3,20150330T000000,1,7,3422049190,47.3576,-122.277,247500,1960,0,1960,1750,15681,15616,0,0,1967,0,98032
1.5,4,4,20140912T000000,1,7,1099611230,47.3036,-122.378,199000,1160,0,1160,1160,6400,6400,0,0,1975,0,98023
1.75,3,5,20140711T000000,1,7,0722079104,47.4109,-121.958,314000,1210,600,1810,1650,41800,135036,0,0,1980,0,98038
2.5,3,3,20140516T000000,2,9,7338200240,47.4838,-121.714,437500,2320,0,2320,2550,36847,35065,2,0,1992,0,98045
2.5,3,5,20140611T000000,1.5,9,1952200240,47.6415,-122.315,850830,1270,800,2070,2200,13241,4500,0,0,1910,0,98102
2,3,4,20141027T000000,1.5,7,5200100125,47.6775,-122.372,555000,1440,540,1980,1610,3478,3478,0,0,1929,0,98117
2.25,3,4,20141212T000000,2,8,7214720075,47.7731,-122.08,699950,2190,0,2190,2570,107593,47777,0,0,1983,0,98077
2.5,3,3,20141007T000000,2,8,2450000295,47.5814,-122.196,1.088e+006,2920,0,2920,2370,8113,8113,0,0,1950,2010,98004
1,3,3,20140924T000000,1,7,6197800045,47.4375,-122.184,290000,1210,0,1210,1640,33919,14910,0,0,1954,0,98058
2.5,3,4,20150402T000000,1,8,1328310370,47.4431,-122.133,375000,1460,880,2340,2250,10005,8162,0,0,1978,0,98058
1,3,4,20140523T000000,1.5,7,0546000875,47.6878,-122.38,460000,1170,500,1670,1240,4005,4005,0,0,1939,0,98117
1.75,2,4,20140723T000000,1,8,3530510041,47.3813,-122.322,188500,1240,0,1240,1270,2493,4966,0,0,1985,0,98198
2.5,4,4,20150305T000000,2,10,1853000400,47.7304,-122.082,680000,3140,0,3140,2990,28037,35001,0,0,1991,0,98077
1.75,5,4,20140827T000000,2,7,3134100116,47.6417,-122.109,470000,2030,0,2030,2500,12342,9433,0,0,1942,0,98052
2.5,4,3,20140725T000000,2,8,9545230140,47.5386,-122.053,597750,2310,0,2310,1940,9624,9636,0,0,1984,0,98027
1.75,3,5,20150304T000000,1,6,3362400511,47.6823,-122.349,570000,700,560,1260,1380,3328,3536,0,0,1905,0,98103
1.75,3,4,20140916T000000,1,7,2525310310,47.3624,-122.031,272500,1160,380,1540,1540,12600,11656,0,0,1980,0,98038
1.75,3,3,20141124T000000,1,7,6126500060,47.5474,-122.295,329950,1080,1000,2080,2090,5969,5500,2,0,1971,0,98108
2.5,4,3,20141028T000000,2,9,8961960160,47.3183,-122.253,480000,2520,710,3230,2640,16171,8517,3,0,2001,0,98001
3.5,3,3,20141121T000000,2,8,3626039325,47.6981,-122.368,740500,2780,1600,4380,1830,6350,6350,0,0,1900,1999,98117
3.5,3,3,20140626T000000,3,8,3362400431,47.6824,-122.347,518500,1590,0,1590,1620,1102,3166,0,0,2010,0,98103
1,2,4,20140623T000000,1,6,4060000240,47.5009,-122.248,205425,880,0,880,1190,6780,6780,0,0,1945,0,98178
2,4,3,20150108T000000,1,6,3454800060,47.4965,-122.303,171800,1570,0,1570,1880,9600,9000,0,0,1950,0,98168
1,4,4,20150511T000000,1.5,7,1695900060,47.587,-122.294,535000,1610,0,1610,1610,2982,4040,0,0,1925,0,98144
2.5,3,3,20150102T000000,1,8,7278700070,47.7728,-122.386,660000,1560,840,2400,2340,6474,10856,2,0,1964,0,98177
2,3,3,20141119T000000,1,7,6675500070,47.7288,-122.226,391500,1450,0,1450,1580,9132,9104,0,0,1987,0,98034
1,2,3,20150406T000000,1,6,3626039187,47.6999,-122.364,395000,770,0,770,1710,6000,6000,0,0,1953,0,98117
1.75,4,5,20141104T000000,1.5,7,3524049083,47.5299,-122.266,445000,1720,380,2100,1850,4400,4400,0,0,1924,0,98118
2.25,3,3,20140618T000000,2,9,3275860240,47.6897,-122.098,770000,2910,0,2910,2700,10204,13992,0,0,1990,0,98052
2.75,4,3,20150302T000000,1.5,8,4389200955,47.6141,-122.212,1.45e+006,1980,770,2750,3060,17789,11275,0,0,1914,1992,98004
2.25,3,3,20140717T000000,1,8,4058801670,47.5091,-122.244,445000,1620,480,2100,2660,8201,8712,2,0,1967,0,98178
2.25,4,3,20140717T000000,1,8,8732020310,47.3129,-122.39,260000,1360,800,2160,2090,8811,8400,0,0,1978,0,98023
3.5,5,5,20140613T000000,2,7,2331300505,47.6763,-122.352,822500,1720,600,2320,1700,4960,4960,0,0,1926,0,98103
2.5,4,3,20150406T000000,2,7,7853210060,47.5319,-121.85,430000,2070,0,2070,1970,4310,3748,0,0,2004,0,98065
1.75,3,4,20150105T000000,1,7,3668000070,47.2761,-122.152,212000,1060,0,1060,1420,7875,7680,0,0,1986,0,98092
2.25,4,3,20150428T000000,1,8,9545240070,47.5343,-122.054,660500,1440,570,2010,2060,9603,9793,0,0,1986,0,98027
3.5,3,3,20140612T000000,1.5,9,1243100136,47.697,-122.072,784000,2460,1490,3950,2480,111078,88500,0,0,1989,0,98052
2.5,3,3,20140512T000000,2,8,8929000270,47.5517,-121.998,453246,1390,620,2010,1690,2287,1662,0,0,2014,0,98029
3.5,4,3,20150126T000000,3,9,2767602356,47.6734,-122.38,675000,2140,0,2140,1540,2278,2285,0,0,2005,0,98107
1.75,3,4,20140813T000000,1,7,0921049315,47.3257,-122.296,199000,1320,0,1320,1550,17390,19265,0,0,1956,0,98003
1.75,4,3,20140805T000000,1,7,3655000070,47.3309,-122.299,220000,1010,1010,2020,1750,7840,8140,0,0,1968,0,98003
2.25,4,4,20140529T000000,1,8,4027700812,47.7689,-122.266,452000,1340,1250,2590,1550,10002,10436,0,0,1968,0,98028
1,2,3,20140707T000000,1,6,3992700335,47.7135,-122.287,382500,1190,0,1190,1060,4440,5715,0,0,1981,0,98125
2.25,3,3,20140507T000000,3,8,2767603505,47.6722,-122.381,519950,1170,0,1170,1350,1249,1310,0,0,2014,0,98107
1,2,3,20140627T000000,1,7,4232901525,47.6338,-122.358,665000,1110,0,1110,1170,3200,3600,0,0,1925,0,98119
2.5,5,4,20140708T000000,1,8,1777500060,47.5707,-122.128,527700,1550,1270,2820,2820,9375,9375,0,0,1968,0,98006
1,3,4,20150508T000000,1,7,1432900240,47.4563,-122.171,205000,1010,600,1610,1610,8579,8579,0,0,1962,0,98058
1,3,4,20150415T000000,1,7,6140100875,47.7144,-122.351,420000,940,120,1060,1560,8097,7940,0,0,1923,0,98133
2.25,4,4,20150227T000000,1,8,6071600370,47.5495,-122.174,500000,1380,650,2030,2230,8517,8824,0,0,1961,0,98006
2.5,4,4,20141203T000000,2,9,1526069017,47.7421,-122.026,921500,3670,0,3670,2840,315374,87991,0,0,1994,0,98077
1,4,3,20140625T000000,2,8,0809001525,47.6354,-122.353,890000,2370,180,2550,2200,4000,4000,0,0,1905,0,98109
2.5,2,3,20140806T000000,2,7,3224079105,47.5262,-121.943,430000,2420,0,2420,1940,60984,193842,0,0,2007,0,98027
2,5,4,20141030T000000,1,8,8075400570,47.3887,-122.286,258000,1130,1130,2260,1360,12500,18000,0,0,1960,0,98032
1,3,3,20141104T000000,1,7,1994200024,47.6873,-122.336,511000,980,450,1430,1450,3455,4599,0,0,1947,0,98103
2,3,3,20140820T000000,2,8,3362900810,47.6838,-122.353,532170,1360,0,1360,1500,3090,3090,0,0,1990,0,98103
1,3,3,20150409T000000,1.5,7,1324300398,47.655,-122.359,560000,1110,0,1110,1420,5000,5000,0,0,1947,0,98107
1,3,4,20150331T000000,1,7,0537000445,47.3255,-122.304,282950,1250,0,1250,1680,8200,8633,0,0,1954,0,98003
3.25,4,3,20150401T000000,2,12,7855801670,47.562,-122.162,2.25e+006,3540,1640,5180,3160,19850,9750,3,0,2006,0,98006
1,1,3,20140516T000000,1,7,7920100045,47.679,-122.3,350000,700,0,700,1010,5100,5100,0,0,1942,0,98115
1,3,4,20140728T000000,1,7,8960000030,47.4479,-122.176,215000,1180,0,1180,1190,7669,7669,0,0,1967,0,98058
3.5,5,3,20141120T000000,2,9,6388930390,47.525,-122.172,650000,2500,1460,3960,2640,25245,13675,0,0,1996,0,98056
2.75,4,3,20140807T000000,1,8,8731900200,47.3135,-122.369,320000,1620,1020,2640,1980,7500,7875,0,0,1967,0,98023
2,3,3,20141113T000000,1.5,7,8029200135,47.2086,-121.996,247000,1270,0,1270,1160,7198,7198,0,0,1916,2013,98022
1.75,4,4,20141003T000000,1,8,1081200350,47.4715,-122.118,320000,1760,0,1760,1730,11180,11180,0,0,1968,0,98059
2.25,5,3,20140507T000000,1,7,0084000105,47.4877,-122.335,255000,1030,1030,2060,1010,8632,11680,0,0,1962,0,98146
1.75,3,3,20150309T000000,1,7,3756500060,47.7171,-122.193,438000,1780,0,1780,1200,9660,9660,0,0,1962,0,98034
2.5,3,3,20150304T000000,2,10,7215720160,47.6012,-122.023,900000,3400,0,3400,3400,16603,12601,0,0,2000,0,98075
2.75,3,3,20140620T000000,1,7,3574800520,47.7319,-122.224,441000,1160,750,1910,1710,7280,8152,0,0,1979,0,98034
2,3,4,20140812T000000,1,7,2617300160,47.4582,-122.023,420000,1010,1010,2020,2110,38332,36590,0,0,1975,0,98027
1.75,3,3,20141208T000000,1,7,2558660270,47.7209,-122.168,370000,1180,400,1580,1640,7000,7500,0,0,1976,0,98034
1.75,2,5,20150219T000000,1,5,2009000370,47.408,-122.327,269950,700,640,1340,1830,7250,9750,0,0,1949,0,98198
2.5,4,3,20150324T000000,2,9,1836980160,47.565,-122.125,807100,2680,0,2680,2920,4499,4500,0,0,1999,0,98006
2.5,3,4,20140605T000000,1,8,3261020370,47.7028,-122.231,653000,1610,1070,2680,2480,9750,8750,0,0,1979,0,98034
2,3,5,20140611T000000,1,7,1755700060,47.7458,-122.331,371500,1370,0,1370,1770,8336,7288,0,0,1964,0,98133
1.75,3,3,20150316T000000,1,7,4330600435,47.4776,-122.337,284000,1560,0,1560,1070,21000,7920,0,0,1954,0,98166
1.75,3,4,20150102T000000,1,7,9542800700,47.3026,-122.374,272000,1670,490,2160,1930,7140,7350,0,0,1978,0,98023
1.5,3,3,20140502T000000,1.5,7,1999700045,47.7658,-122.339,313000,1340,0,1340,1480,7912,7940,0,0,1955,0,98133
2.5,4,3,20150116T000000,2,10,1762600070,47.6477,-122.182,917500,2570,1310,3880,3740,35003,35230,0,0,1984,0,98033
2.25,4,4,20140929T000000,2,8,1687900520,47.5619,-122.125,673000,2590,0,2590,2260,8190,8335,0,0,1980,0,98006
2.5,3,3,20150210T000000,2,8,7234600798,47.6106,-122.31,425000,820,300,1120,1590,1100,1795,0,0,2008,0,98122
2.75,5,3,20140709T000000,1,7,3881900445,47.5868,-122.308,399950,1320,650,1970,1280,5400,2150,0,0,1986,0,98144
1,3,3,20140530T000000,1,6,2254502445,47.6101,-122.307,385000,1220,0,1220,1200,4800,4800,0,0,1901,0,98122
1.5,3,4,20141117T000000,1,7,5437810320,47.1976,-121.999,269950,1320,630,1950,1950,7560,8941,2,0,1975,0,98022
1,2,3,20150107T000000,1,7,9158100075,47.7224,-122.358,330000,1060,290,1350,1540,8220,8280,0,0,1949,0,98177
2.5,3,3,20140725T000000,2,7,3830630310,47.3505,-122.179,260000,1670,0,1670,1670,5797,6183,0,0,1988,0,98030
3,4,4,20150414T000000,1.5,7,8123100045,47.5384,-122.376,470000,1680,700,2380,1410,5125,5375,0,0,1925,0,98126
3,4,5,20140613T000000,2,7,3127200041,47.7044,-122.2,589000,2440,0,2440,2290,9600,9600,0,0,1961,0,98034
1.5,2,3,20140723T000000,2,7,6661200320,47.3848,-122.039,163500,1050,0,1050,1050,3419,3417,0,0,1996,0,98038
2.75,4,3,20140905T000000,2,9,0011510310,47.6993,-122.102,835000,2140,990,3130,2260,13412,9984,0,0,1993,0,98052
3,5,4,20141121T000000,1,10,0825059270,47.6627,-122.188,1.095e+006,2090,2000,4090,2540,12850,10270,2,0,1986,0,98033
1.75,4,4,20150415T000000,1,8,8731951370,47.3099,-122.379,269000,1100,390,1490,2190,10000,8910,0,0,1969,0,98023
2.5,3,3,20140505T000000,2,8,1954440060,47.62,-122.043,560000,1900,0,1900,2030,8744,8744,0,0,1987,0,98074
1,4,4,20150418T000000,1.5,6,2264500350,47.65,-122.34,615000,1330,0,1330,1330,2400,4400,0,0,1901,0,98103
2.25,3,3,20141205T000000,1,8,1115810060,47.6647,-122.153,585188,1430,800,2230,2230,10026,9340,0,0,1975,0,98052
1.75,3,3,20140818T000000,1,7,9477200200,47.726,-122.191,305000,1220,430,1650,1540,9480,8400,0,0,1977,0,98034
1,3,3,20141105T000000,1,6,1432600560,47.4616,-122.184,166950,1190,0,1190,1230,8820,7980,0,0,1959,0,98058
2.5,3,4,20140912T000000,1,8,2287000060,47.5505,-122.219,799000,2140,0,2140,2680,9897,10083,0,0,1959,0,98040
2.5,3,4,20140625T000000,1,7,3663500060,47.7606,-122.336,400000,1420,760,2180,1900,7508,7818,0,0,1962,0,98133
1,3,3,20141201T000000,1,7,3996900125,47.7481,-122.3,230000,1060,0,1060,1570,10228,10228,0,0,1948,0,98155
2.5,3,3,20140515T000000,2,8,7796450200,47.2779,-122.347,256883,1690,0,1690,2550,5025,5001,0,0,2003,0,98023
2,4,5,20141111T000000,1.5,7,7549802535,47.5511,-122.312,423000,1130,840,1970,1500,6480,6480,0,0,1920,0,98108
2.5,3,3,20140723T000000,2,8,3278600320,47.5488,-122.372,465000,2150,0,2150,1750,4084,2385,0,0,2007,0,98126
2.5,3,3,20150113T000000,2,7,2824079053,47.5385,-121.911,440000,1910,0,1910,2330,66211,67268,0,0,1997,0,98024
1.75,3,4,20141014T000000,1,7,1222069094,47.4058,-121.994,385000,1350,0,1350,1560,155073,50965,0,0,1969,0,98038
1,3,4,20150311T000000,1,6,3542300060,47.5093,-122.184,210000,860,0,860,1300,11725,9514,0,0,1943,0,98056
2.5,3,3,20141112T000000,2,8,2222059065,47.3777,-122.165,297000,1940,0,1940,2030,14952,10450,0,0,1994,0,98042
1,3,3,20140716T000000,1,7,7551300060,47.675,-122.394,470000,1010,0,1010,1680,5000,5000,0,0,1952,0,98107
1.5,3,4,20140804T000000,1,7,0100600550,47.3025,-122.37,226500,900,400,1300,1430,7370,7500,0,0,1976,0,98023
1,3,4,20150303T000000,1,6,3211100860,47.4787,-122.158,274250,910,0,910,1400,8450,8040,0,0,1962,0,98059
1.75,4,4,20140804T000000,1,9,3456000310,47.5378,-122.219,840000,1630,850,2480,2770,11010,10744,0,0,1966,0,98040
2.5,3,3,20140919T000000,2,8,9526600140,47.7073,-122.114,677900,2440,0,2440,2750,4587,4587,0,0,2010,0,98052
1,3,3,20150205T000000,1,7,7465900060,47.5733,-122.381,425000,1010,0,1010,1290,5864,5000,0,0,1915,0,98116
0.75,2,3,20141123T000000,1,6,1222000055,47.4604,-122.339,180250,900,0,900,1250,9600,14280,0,0,1941,0,98166
3,6,3,20140717T000000,2,7,6300000550,47.7067,-122.343,464000,1600,700,2300,1560,3404,1312,0,0,1920,1994,98133
